quarter,state,code,unemployment,frustration,calls
2020-Q2,South Carolina,SC,11.4,6.1,41.0
2020-Q2,South Dakota,SD,9.5,6.666666666666667,5.666666666666667
2020-Q2,Tennessee,TN,15.6,6.0344827586206895,57.333333333333336
2020-Q2,Texas,TX,12.7,6.003472222222222,271.6666666666667
2020-Q2,Utah,UT,10.2,6.0,27.666666666666668
2020-Q2,Vermont,VT,15.0,7.0,6.333333333333333
2020-Q2,Virginia,VA,11.0,6.160714285714286,81.66666666666667
2020-Q2,Washington,WA,16.3,6.01123595505618,76.66666666666667
2020-Q2,West Virginia,WV,15.6,6.32,18.0
2020-Q2,Wisconsin,WI,14.9,6.153846153846154,56.333333333333336
2020-Q2,Wyoming,WY,8.7,6.0,3.0
2020-Q3,Alabama,AL,7.9,6.022222222222222,47.333333333333336
2020-Q3,Alaska,AK,10.2,6.75,8.0
2020-Q3,Arizona,AZ,10.9,6.131578947368421,72.33333333333333
2020-Q3,Arkansas,AR,7.5,6.212121212121212,31.0
2020-Q3,California,CA,13.6,6.008064516129032,381.6666666666667
2020-Q3,Colorado,CO,7.5,6.0,59.666666666666664
2020-Q3,Connecticut,CT,11.5,6.0,33.666666666666664
2020-Q3,Delaware,DE,8.6,6.6,10.333333333333334
2020-Q3,District of Columbia,DC,9.5,6.375,6.0
2020-Q3,Florida,FL,11.9,5.995145631067961,212.66666666666666
2020-Q3,Georgia,GA,8.1,6.153061224489796,86.0
2020-Q3,Hawaii,HI,15.3,5.857142857142857,14.333333333333334
2020-Q3,Idaho,ID,5.7,6.538461538461538,14.666666666666666
2020-Q3,Illinois,IL,12.4,5.9734513274336285,123.0
2020-Q3,Indiana,IN,8.9,6.015873015873016,67.33333333333333
2020-Q3,Iowa,IA,5.9,6.296296296296297,30.666666666666668
2020-Q3,Kansas,KS,7.3,6.4,29.666666666666668
2020-Q3,Kentucky,KY,6.1,6.102941176470588,48.0
2020-Q3,Louisiana,LA,10.0,6.0181818181818185,42.333333333333336
2020-Q3,Maine,ME,8.4,6.0625,16.0
2020-Q3,Maryland,MD,8.8,5.9324324324324325,60.666666666666664
2020-Q3,Massachusetts,MA,10.1,5.8875,76.0
2020-Q3,Michigan,MI,9.5,5.91764705882353,95.33333333333333
2020-Q3,Minnesota,MN,7.6,6.017857142857143,48.333333333333336
2020-Q3,Mississippi,MS,9.6,6.333333333333333,27.666666666666668
2020-Q3,Missouri,MO,7.3,6.266666666666667,60.666666666666664
2020-Q3,Montana,MT,6.2,6.066666666666666,12.666666666666666
2020-Q3,Nebraska,NE,4.7,4.375,19.333333333333332
2020-Q3,Nevada,NV,16.8,4.205128205128205,28.333333333333332
2020-Q3,New Hampshire,NH,8.1,6.230769230769231,13.666666666666666
2020-Q3,New Jersey,NJ,13.6,6.036585365853658,87.0
2020-Q3,New Mexico,NM,13.4,5.6875,21.666666666666668
2020-Q3,New York,NY,14.8,5.955665024630542,199.33333333333334
2020-Q3,North Carolina,NC,9.3,5.869158878504673,100.33333333333333
2020-Q3,North Dakota,ND,6.0,6.333333333333333,5.333333333333333
2020-Q3,Ohio,OH,9.5,6.043103448275862,112.66666666666667
2020-Q3,Oklahoma,OK,7.3,6.162162162162162,36.666666666666664
2020-Q3,Oregon,OR,10.0,6.064516129032258,42.333333333333336
2020-Q3,Pennsylvania,PA,13.5,6.009174311926605,124.66666666666667
2020-Q3,Rhode Island,RI,13.8,6.333333333333333,9.0
2020-Q3,South Carolina,SC,7.9,6.0,47.0
2020-Q3,South Dakota,SD,5.1,6.166666666666667,8.333333333333334
2020-Q3,Tennessee,TN,9.4,5.8307692307692305,66.66666666666667
2020-Q3,Texas,TX,9.6,6.00763358778626,284.6666666666667
2020-Q3,Utah,UT,5.5,6.166666666666667,34.0
2020-Q3,Vermont,VT,6.6,6.285714285714286,5.0
2020-Q3,Virginia,VA,8.1,6.064935064935065,80.33333333333333
2020-Q3,Washington,WA,10.7,6.0519480519480515,72.66666666666667
2020-Q3,West Virginia,WV,9.5,6.214285714285714,18.0
2020-Q3,Wisconsin,WI,7.3,6.075,48.0
2020-Q3,Wyoming,WY,6.8,6.5,5.666666666666667
2020-Q4,Alabama,AL,4.3,4.125,38.0
2020-Q4,Alaska,AK,6.6,6.0,8.0
2020-Q4,Arizona,AZ,6.7,6.230769230769231,63.666666666666664
2020-Q4,Arkansas,AR,4.8,4.32,25.666666666666668
2020-Q4,California,CA,9.3,4.14021164021164,370.0
2020-Q4,Colorado,CO,6.9,6.131147540983607,56.666666666666664
2020-Q4,Connecticut,CT,7.7,6.052631578947368,32.333333333333336
2020-Q4,Delaware,DE,5.8,6.888888888888889,9.666666666666666
2020-Q4,District of Columbia,DC,8.8,6.0,8.666666666666666
2020-Q4,Florida,FL,5.6,6.101321585903084,209.66666666666666
2020-Q4,Georgia,GA,5.6,6.10752688172043,101.66666666666667
2020-Q4,Hawaii,HI,14.0,5.9,13.666666666666666
2020-Q4,Idaho,ID,4.2,4.541666666666667,17.333333333333332
